,State,Facility Name,Total Performance Score,PY2019 Payment Reduction Percentage,CMS Certification Date,StateLat,StateLon
112,IL,UNIVERSITY OF ILLINOIS HOSPITAL - DIALYSIS,54,0.50%,1/1/1968,39.739318,-89.504139
113,IL,FMC - WESTCHESTER,74,No Reduction,9/5/1988,39.739318,-89.504139
114,IL,FMC - SOUTHWEST ILLINOIS,67,No Reduction,2/1/1988,39.739318,-89.504139
115,IL,FKC - WEST METRO DIALYSIS,52,0.50%,1/27/1987,39.739318,-89.504139
116,IL,FMC - BLUE ISLAND DIALYSIS CENTER,63,No Reduction,6/24/1988,39.739318,-89.504139
117,IL,DAVITA - COUNTRY CLUB HILLS,54,0.50%,6/21/1996,39.739318,-89.504139
118,IL,FMC - DUQUOIN,87,No Reduction,2/15/2000,39.739318,-89.504139
119,IL,FMC - NORTHWESTERN,60,No Reduction,1/1/2000,39.739318,-89.504139
120,IL,FMC - GLENDALE HEIGHTS DIALYSIS CENTER,69,No Reduction,10/1/2001,39.739318,-89.504139
121,IL,DAVITA - ALTON DIALYSIS,52,0.50%,9/1/2001,39.739318,-89.504139
122,IL,DAVITA - WHITESIDE DIALYSIS,68,No Reduction,3/31/2000,39.739318,-89.504139
123,IL,CONCERTO DIALYSIS,32,1.50%,11/29/2004,39.739318,-89.504139
124,IL,FMC - WEST CHICAGO DIALYSIS CENTER,83,No Reduction,9/18/2014,39.739318,-89.504139
125,IL,FMC - WAUKEGAN HARBOR,76,No Reduction,10/17/2011,39.739318,-89.504139
126,IL,FMC - WEST BATAVIA,68,No Reduction,5/4/2012,39.739318,-89.504139
127,IL,VILLA PARK HOME DIALYSIS,82,No Reduction,12/13/2012,39.739318,-89.504139
128,IL,FMC - OAK FOREST,71,No Reduction,12/10/2013,39.739318,-89.504139
129,IL,DAVITA - TAZEWELL COUNTY DIALYSIS,65,No Reduction,2/3/2014,39.739318,-89.504139
130,IL,NORTHWESTERN MEDICAL FACILITY FOUNDATION DIALYSIS CENTER,38,1.50%,3/14/2014,39.739318,-89.504139
131,IL,FMC - WATERLOO DIALYSIS,61,No Reduction,9/24/2015,39.739318,-89.504139
132,IL,FMC - MAPLE CITY,91,No Reduction,12/17/2015,39.739318,-89.504139
133,IL,NOCTURNAL DIALYSIS SPA,0,2.00%,8/15/2016,39.739318,-89.504139
134,IL,FRESENIUS MEDICAL CARE CHIGACOGLAND LLC,53,0.50%,6/5/2017,39.739318,-89.504139
135,IN,FMC - HUNTINGTON DIALYSIS,57,0.50%,6/24/2002,39.7662195,-86.441277
136,IN,DAVITA - CORYDON DIALYSIS CENTER,76,No Reduction,3/28/2008,39.7662195,-86.441277
137,IN,DAVITA - NEWBURGH DIALYSIS,83,No Reduction,2/2/2011,39.7662195,-86.441277
138,IN,DAVITA - AVON DIALYSIS,66,No Reduction,4/19/2011,39.7662195,-86.441277
139,IA,CENTRAL DES MOINES DIALYSIS,70,No Reduction,6/12/1986,41.9383166,-93.389798
140,IA,SOUTHEASTERN RENAL DIALYSIS L.C. - MOUNT PLEASANT,87,No Reduction,10/23/1984,41.9383166,-93.389798
141,IA,MARSHALLTOWN MARY GREELEY DIALYSIS,84,No Reduction,6/1/2011,41.9383166,-93.389798
142,IA,UNIVERSITY OF IOWA HOSPITAL & CLINICS - NORTH LIBERTY,86,No Reduction,9/1/1998,41.9383166,-93.389798
143,KS,TOPEKA DIALYSIS,63,No Reduction,4/1/1987,38.4987789,-98.3200779
144,KS,OTTAWA DIALYSIS,57,0.50%,6/14/1988,38.4987789,-98.3200779
145,KS,PRATT DIALYSIS CENTER,86,No Reduction,3/17/1999,38.4987789,-98.3200779
146,KS,FLINT HILLS DIALYSIS OF MARYSVILLE,No Score,No Reduction,4/29/2013,38.4987789,-98.3200779
147,KY,FMC - BOWLING GREEN KIDNEY CENTER,56,0.50%,8/16/1978,37.8222935,-85.7682399
148,KY,DCI - CORBIN,77,No Reduction,1/19/1979,37.8222935,-85.7682399
149,KY,DAVITA - PAINTSVILLE DIALYSIS,62,No Reduction,10/16/2001,37.8222935,-85.7682399
150,KY,FMC -LAKE CUMBERLAND,86,No Reduction,9/28/2012,37.8222935,-85.7682399
151,KY,DIALYSIS SERVICES OF PINEVILLE,67,No Reduction,2/13/2013,37.8222935,-85.7682399
152,KY,FMC - HOPKINSVILLE,82,No Reduction,7/9/2015,37.8222935,-85.7682399
153,KY,FMC- LEXINGTON SOUTHWEST,51,0.50%,2/2/2017,37.8222935,-85.7682399
154,LA,FMCNA - PONTCHARTRAIN KIDNEY CTR,65,No Reduction,7/27/1987,30.9733766,-91.4299097
155,LA,FMCNA - DELTA,55,0.50%,7/17/1992,30.9733766,-91.4299097
156,LA,DAVITA - SULPHUR,66,No Reduction,9/14/1998,30.9733766,-91.4299097
157,LA,DAVITA - WESTWEGO DIALYSIS,78,No Reduction,4/11/2014,30.9733766,-91.4299097
158,ME,UMBAGOG KIDNEY CENTER,63,No Reduction,1/28/2003,45.2185133,-69.0148656
159,ME,DCI SKOWHEGAN,76,No Reduction,3/19/2003,45.2185133,-69.0148656
160,ME,BOYD DIALYSIS,56,0.50%,7/23/2013,45.2185133,-69.0148656
161,ME,EASTERN MAINE DIALYSIS,72,No Reduction,11/1/2012,45.2185133,-69.0148656
162,MD,BON SECOURS HOSPITAL,37,1.50%,5/1/1980,38.8063524,-77.2684162
163,MD,HOLY CROSS HOSPITAL,62,No Reduction,1/1/1981,38.8063524,-77.2684162
164,MD,CHARING CROSS DIALYSIS,74,No Reduction,2/1/1987,38.8063524,-77.2684162
165,MD,FMC - GREATER BALTIMORE,86,No Reduction,2/1/1988,38.8063524,-77.2684162
166,MD,US RENAL CARE SILVER HILLS DIALYSIS,55,0.50%,8/1/1990,38.8063524,-77.2684162
167,MD,RENAL TREATMENT CENTER - WHEATON,53,0.50%,9/10/1997,38.8063524,-77.2684162
168,MD,BMA - WHEATON,78,No Reduction,6/9/1998,38.8063524,-77.2684162
169,MD,FMC - PRINCE GEORGES COUNTY DIALYSIS,57,0.50%,3/7/2000,38.8063524,-77.2684162
170,MD,DAVITA - PASADENA,80,No Reduction,6/7/2000,38.8063524,-77.2684162
171,MD,FMC OF PORTER DIALYSIS - PIKESVILLE,78,No Reduction,4/11/2001,38.8063524,-77.2684162
172,MD,FRESENIUS KIDNEY CARE - BRINTON WOODS,35,1.50%,4/14/2005,38.8063524,-77.2684162
173,MD,KIDNEY HOME CENTER,43,1.00%,6/3/2009,38.8063524,-77.2684162
174,MD,FMC - TAKOMA PARK,94,No Reduction,8/2/2010,38.8063524,-77.2684162
175,MA,SAINT ELIZABETH'S MEDICAL CENTER OF BOSTON,61,No Reduction,8/5/1977,42.0629398,-71.718067
176,MA,BERKSHIRE MEDICAL CENTER,61,No Reduction,1/24/1978,42.0629398,-71.718067
177,MA,MASSACHUSETTS GENERAL HOSPITAL,23,2.00%,8/31/1977,42.0629398,-71.718067
178,MA,BRIGHAM AND WOMEN'S HOSPITAL,100,No Reduction,8/5/1977,42.0629398,-71.718067
179,MA,CHILDREN'S HOSPITAL BOSTON,66,No Reduction,8/5/1977,42.0629398,-71.718067
180,MA,NANTUCKET COTTAGE HOSPITAL,No Score,No Reduction,8/5/1977,42.0629398,-71.718067
181,MA,U-MASS MEMORIAL HEALTH CARE SYSTEMS,No Score,No Reduction,12/12/1989,42.0629398,-71.718067
182,MA,MARTHA'S VINEYARD HOSPITAL,74,No Reduction,12/18/1987,42.0629398,-71.718067
183,MA,SAINT VINCENT'S HOSPITAL,58,0.50%,11/29/1991,42.0629398,-71.718067
184,MA,CAPE COD ARTIFICIAL KIDNEY CENTER (BMA CAPE COD),78,No Reduction,8/15/1977,42.0629398,-71.718067
185,MA,NORTH SUBURBAN DIALYSIS CENTER (BMA ESSEX COUNTY),57,0.50%,10/22/1990,42.0629398,-71.718067
186,MA,CHICOPEE DIALYSIS CENTER,79,No Reduction,1/17/1991,42.0629398,-71.718067
187,MA,SOUTH SUBURBAN DIALYSIS FACILITY,65,No Reduction,4/10/1991,42.0629398,-71.718067
188,MA,QUALITY CARE DIALYSIS CENTER,56,0.50%,4/10/1992,42.0629398,-71.718067
189,MA,PURE LIFE RENAL OF STOUGHTON LLC,61,No Reduction,12/7/1992,42.0629398,-71.718067
190,MA,BOSTON DIALYSIS,50,0.50%,6/23/1993,42.0629398,-71.718067
191,MA,DCI BRIGHAM/FAULKNER,70,No Reduction,6/4/2001,42.0629398,-71.718067
192,MA,TAUNTON REGIONAL DIALYSIS CENTER,67,No Reduction,7/22/2010,42.0629398,-71.718067
193,MI,NORTHERN MICHIGAN HOSPITAL,73,No Reduction,9/1/1977,44.9435598,-86.4158049
194,MI,FMC DIALYSIS - UNIVERSITY,58,0.50%,9/1/1977,44.9435598,-86.4158049
195,MI,FMC DIALYSIS - CLINTON,73,No Reduction,10/13/1997,44.9435598,-86.4158049
196,MI,FMC - BALDWIN,91,No Reduction,1/29/2001,44.9435598,-86.4158049
197,MI,RRC - MT MORRIS,74,No Reduction,8/6/2001,44.9435598,-86.4158049
198,MI,DAVITA OAK PARK DIALYSIS,57,0.50%,10/16/2003,44.9435598,-86.4158049
199,MI,FMC - LANSING,78,No Reduction,5/14/2004,44.9435598,-86.4158049
200,MI,DAVITA - KALAMAZOO WEST,82,No Reduction,12/18/2007,44.9435598,-86.4158049
201,MN,WINONA HEALTH SERVICES,79,No Reduction,9/1/1977,46.4418595,-93.3655146
202,MN,U OF MN MED CTR FAIRVIEW - DIALYSIS,55,0.50%,9/1/1977,46.4418595,-93.3655146
203,MN,FMC DIALYSIS - NORTH SUBURBAN,91,No Reduction,3/2/1993,46.4418595,-93.3655146
204,MN,FMC DIALYSIS - NEW BRIGHTON,68,No Reduction,2/5/1999,46.4418595,-93.3655146
205,MN,FMC DIALYSIS - CENTRAL MN REGIONAL DIALYSIS,79,No Reduction,1/8/2001,46.4418595,-93.3655146
206,MN,DAVITA - COTTAGE GROVE,84,No Reduction,11/7/2006,46.4418595,-93.3655146
207,MN,FMC - MAPLEWOOD HEIGHTS,88,No Reduction,6/4/2008,46.4418595,-93.3655146
208,MN,FMC - COON RAPIDS,90,No Reduction,7/9/2008,46.4418595,-93.3655146
209,MN,FMC - ROUND LAKE DIALYSIS,73,No Reduction,4/30/2014,46.4418595,-93.3655146
210,MN,WHITE EARTH DIALYSIS,67,No Reduction,8/12/2014,46.4418595,-93.3655146
211,MN,CENTRACARE KIDNEY PROGRAM - BRAINERD,68,No Reduction,2/2/1993,46.4418595,-93.3655146
212,MN,ST CLOUD HOSPITAL,62,No Reduction,3/1/2002,46.4418595,-93.3655146
213,MN,CENTRACARE KIDNEY PROG AT LAKEWOOD HEALTH SYSTEM,67,No Reduction,1/1/2004,46.4418595,-93.3655146
214,MN,SANFORD DIALYSIS RED LAKE,41,1.00%,3/30/2005,46.4418595,-93.3655146
215,MN,MAYO DIALYSIS - ALBERT LEA,63,No Reduction,11/22/2005,46.4418595,-93.3655146
216,MS,ISD RENAL INC,49,1.00%,9/1/1976,32.5851062,-89.8772196
217,MS,HATTIESBURG CLINIC DIALYSIS,54,0.50%,9/1/1976,32.5851062,-89.8772196
218,MS,RCG BROOKHAVEN,65,No Reduction,11/13/1978,32.5851062,-89.8772196
219,MS,RCG PHILADELPHIA,75,No Reduction,6/8/1983,32.5851062,-89.8772196
220,MS,RCG NEWTON,76,No Reduction,5/1/1992,32.5851062,-89.8772196
221,MS,PACHUTA DIALYSIS,64,No Reduction,12/10/2007,32.5851062,-89.8772196
222,MS,RCG BELZONI,82,No Reduction,3/30/2009,32.5851062,-89.8772196
223,MS,LAKELAND HOME PROGRAM INC.,77,No Reduction,1/20/2012,32.5851062,-89.8772196
224,MS,BIO-MEDICAL APPLICATIONS OF MISSISSIPPI INC.,62,No Reduction,1/23/2014,32.5851062,-89.8772196
225,MS,MEDICAL MALL DIALYSIS,55,0.50%,7/17/2003,32.5851062,-89.8772196
226,MO,SAINT LOUIS CHILDRENS HOSPITAL DIALYSIS,67,No Reduction,3/1/1975,38.3046615,-92.437099
227,MO,SALEM MEMORIAL HOSPITAL,76,No Reduction,6/24/1977,38.3046615,-92.437099
228,MO,DIALYSIS CLINICS INC - COLUMBIA,37,1.50%,1/30/1982,38.3046615,-92.437099
229,MO,METRO DIALYSIS CENTER - NORTH,55,0.50%,11/13/1981,38.3046615,-92.437099
230,MO,CRYSTAL CITY DIALYSIS CENTER,74,No Reduction,3/4/1989,38.3046615,-92.437099
231,MO,FMC - CREVE COEUR,55,0.50%,11/17/1994,38.3046615,-92.437099
232,MO,RENEX DIALYSIS CLINIC OF MAPLEWOOD,84,No Reduction,3/6/1998,38.3046615,-92.437099
233,MO,FLORISSANT DIALYSIS,63,No Reduction,4/20/1998,38.3046615,-92.437099
234,MO,DIALYSIS CLINICS INC - BELTON,67,No Reduction,7/20/1999,38.3046615,-92.437099
235,MO,FMC DIALYSIS SERVICES OF LINCOLN COUNTY,66,No Reduction,2/14/2003,38.3046615,-92.437099
236,MO,PERRY COUNTY DIALYSIS CENTERS,65,No Reduction,6/18/2003,38.3046615,-92.437099
237,MO,RTC-LAMPLIGHTER DIALYSIS,73,No Reduction,12/19/2003,38.3046615,-92.437099
238,MO,FMC - SOUTHEAST MISSOURI,73,No Reduction,12/19/2006,38.3046615,-92.437099
239,MO,GRANDVIEW DIALYSIS,70,No Reduction,8/30/2011,38.3046615,-92.437099
240,MO,NEVADA DIALYSIS,69,No Reduction,11/6/2013,38.3046615,-92.437099
241,MO,FMC - MISSISSIPPI COUNTY,65,No Reduction,8/17/2015,38.3046615,-92.437099
242,MO,FMC - POPLAR BLUFF WEST,51,0.50%,10/15/2015,38.3046615,-92.437099
243,MO,SHOAL CREEK DIALYSIS,85,No Reduction,12/16/2015,38.3046615,-92.437099
244,MO,OZARKS DIALYSIS SERVICES - MONETT,77,No Reduction,4/17/1998,38.3046615,-92.437099
245,MT,ST PETERS HOSPITAL DIALYSIS UNIT,64,No Reduction,7/14/1977,46.6797995,-110.044783
246,MT,FT PECK TRIBAL DIALYSIS UNIT,71,No Reduction,3/18/1988,46.6797995,-110.044783
247,MT,DCI BLACKFEET,73,No Reduction,7/28/1998,46.6797995,-110.044783
248,MT,FRESENIUS MEDICAL CARE POLSON,58,0.50%,9/29/2016,46.6797995,-110.044783
249,NE,BOX BUTTE DIALYSIS UNIT,82,No Reduction,12/28/2000,41.5008195,-99.680902
250,NE,CARL T CURTIS DIALYSIS CLINIC,88,No Reduction,8/27/2004,41.5008195,-99.680902
251,NE,BEATRICE DIALYSIS,100,No Reduction,6/29/2017,41.5008195,-99.680902
252,NV,292515 SUMMERLIN DIALYSIS (DVA),72,No Reduction,2/28/2001,38.502032,-117.0230604
253,NV,292531 CENTENNIAL DIALYSIS CENTER (DVA),55,0.50%,7/18/2008,38.502032,-117.0230604
254,NJ,H. FULD CAPITAL HEALTH,58,0.50%,1/1/1998,40.1430058,-74.7311156
255,NJ,TRINITAS HOSPITAL,31,1.50%,12/24/1999,40.1430058,-74.7311156
256,NJ,BRIDGETON SOUTH JERSEY HOSPITAL,61,No Reduction,12/27/1988,40.1430058,-74.7311156
257,NJ,ATLANTIC CITY MEDICAL CENTER,65,No Reduction,8/31/1989,40.1430058,-74.7311156
258,NJ,BAYONNE HOSPITAL RENAL CENTER,56,0.50%,7/16/1990,40.1430058,-74.7311156
