,Facility Name,CMS Certification Number (CCN),City,state,State Abbr,Zip Code,Lat,Long,VAT Catheter Measure Score,National Average VAT Catheter Measure Score,VAT Fistula Measure Score,National Average Fistula Measure Score,Vascular Access Combined Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Measure Score,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,National Average Hypercalcemia Measure Score,NHSN Influenza Measure Score,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score,National Average NHSN BSI Measure Score,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score,Mineral Metabolism Measure Score,National Avg Mineral Metabolism Measure Score,Anemia Management Measure Score,National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,National Average STrR Measure Score,Clinical Depression Screening and Follow-up Measure Score,National Average Clinical Depression Screening and Follow-up Measure Score,Pain Assessment and Follow-up Measure Score,National Average Pain Assessment and Follow-up Measure Score,Total Performance Score,PY2019 Payment Reduction Percentage,CMS Certification Date,FacilityAge
10,FARRAGUT DIALYSIS INC,12669,MONTGOMERY,Alabama,AL,36116,32.35,-86.28,1,5,2,5,1,5,7,8,9,8,10,9,3,6,6,7,3,5,9,9,10,10,4,5,6,5,10,10,10,10,52,0.50%,8/22/2013,1957 days 00:00:00.000000000
11,FMC GARDENDALE,12612,GARDENDALE,Alabama,AL,35071,33.66,-86.8,7,5,1,5,4,5,9,8,10,8,10,9,8,6,9,7,3,5,10,9,10,10,1,5,2,5,10,10,10,10,57,0.50%,12/17/2003,5493 days 00:00:00.000000000
12,FLORENCE DIALYSIS,12529,FLORENCE,Alabama,AL,35630,34.82,-87.66,7,5,5,5,6,5,9,8,9,8,10,9,4,6,6,7,3,5,6,9,10,10,9,5,6,5,10,10,10,10,67,No Reduction,9/16/1986,11794 days 00:00:00.000000000
13,FMC DAUPHIN ISLAND PKWY,12579,MOBILE,Alabama,AL,36605,30.68,-88.04,9,5,3,5,6,5,9,8,10,8,10,9,4,6,6,7,1,5,10,9,10,10,7,5,4,5,10,10,10,10,60,No Reduction,7/8/1998,7481 days 00:00:00.000000000
14,PCD PRATTVILLE,12535,PRATTVILLE,Alabama,AL,36066,32.46,-86.44,10,5,10,5,10,5,9,8,5,8,10,9,6,6,8,7,6,5,10,9,10,10,0,5,6,5,10,10,10,10,69,No Reduction,1/26/1990,10566 days 00:00:00.000000000
15,FMC PRATTVILLE,12633,PRATTVILLE,Alabama,AL,36066,32.46,-86.44,4,5,1,5,3,5,10,8,10,8,10,9,8,6,9,7,7,5,10,9,10,10,4,5,7,5,10,10,10,10,73,No Reduction,9/15/2009,3394 days 00:00:00.000000000
16,FMC CHASE,12606,HUNTSVILLE,Alabama,AL,35810,34.7,-86.62,6,5,2,5,4,5,9,8,6,8,10,9,9,6,9,7,3,5,9,9,10,10,4,5,4,5,10,10,10,10,60,No Reduction,9/19/2002,5947 days 00:00:00.000000000
17,TUSCALOOSA DIALYSIS,12545,TUSCALOOSA,Alabama,AL,35401,33.23,-87.54,6,5,0,5,3,5,9,8,9,8,10,9,2,6,5,7,1,5,9,9,10,10,0,5,1,5,10,10,10,10,43,1.00%,8/11/1992,9638 days 00:00:00.000000000
18,TUSCALOOSA UNIVERSITY DIALYSIS,12502,TUSCALOOSA,Alabama,AL,35401,33.23,-87.54,4,5,0,5,2,5,9,8,5,8,10,9,6,6,8,7,6,5,10,9,10,10,4,5,4,5,10,10,10,10,61,No Reduction,10/21/1977,15046 days 00:00:00.000000000
19,RAI-SNOW ST-OXFORD,12621,OXFORD,Alabama,AL,36203,33.66,-85.81,0,5,0,5,0,5,2,8,9,8,10,9,6,6,8,7,2,5,10,9,10,10,6,5,4,5,10,10,10,10,45,1.00%,7/11/2007,4191 days 00:00:00.000000000
20,RAI EAST 11TH ST ANNISTON,12530,ANNISTON,Alabama,AL,36207,33.66,-85.81,8,5,2,5,5,5,9,8,8,8,10,9,8,6,9,7,6,5,10,9,10,10,3,5,3,5,10,10,10,10,66,No Reduction,1/7/1987,11681 days 00:00:00.000000000
21,BIRMINGHAM CENTRAL DIALYSIS,12592,BIRMINGHAM,Alabama,AL,35233,33.52,-86.79,0,5,2,5,1,5,6,8,3,8,10,9,5,6,7,7,3,5,8,9,10,10,10,5,9,5,10,10,10,10,58,0.50%,8/1/1998,7457 days 00:00:00.000000000
22,FMC PARKWAY,12568,HUNTSVILLE,Alabama,AL,35801,34.7,-86.62,8,5,7,5,8,5,10,8,9,8,10,9,8,6,9,7,3,5,10,9,10,10,0,5,1,5,10,10,10,10,61,No Reduction,9/3/1996,8154 days 00:00:00.000000000
23,FMC DISCOVERY,12613,HUNTSVILLE,Alabama,AL,35801,34.7,-86.62,3,5,0,5,2,5,6,8,9,8,10,9,9,6,9,7,3,5,8,9,10,10,8,5,2,5,10,10,10,10,57,0.50%,3/17/2004,5402 days 00:00:00.000000000
24,FMC SCOTTSBORO,12519,SCOTTSBORO,Alabama,AL,35768,34.64,-86.04,4,5,7,5,5,5,10,8,9,8,10,9,8,6,9,7,7,5,10,9,10,10,4,5,7,5,10,10,10,10,75,No Reduction,11/5/1984,12474 days 00:00:00.000000000
25,FMC FOLEY,12634,FOLEY,Alabama,AL,36535,30.4,-87.68,5,5,2,5,4,5,10,8,10,8,10,9,2,6,5,7,9,5,10,9,10,10,4,5,6,5,10,10,10,10,71,No Reduction,9/14/2009,3395 days 00:00:00.000000000
26,FMC JAGUAR,12636,MOBILE,Alabama,AL,36617,30.68,-88.04,9,5,0,5,5,5,6,8,10,8,10,9,6,6,8,7,3,5,10,9,10,10,1,5,4,5,10,10,10,10,54,0.50%,4/7/2010,3190 days 00:00:00.000000000
27,BOAZ DIALYSIS,12594,BOAZ,Alabama,AL,35957,34.2,-86.15,10,5,10,5,10,5,10,8,10,8,10,9,6,6,8,7,6,5,10,9,10,10,3,5,5,5,10,10,10,10,76,No Reduction,6/30/1999,7124 days 00:00:00.000000000
28,DCI BIRMINGHAM,12573,BIRMINGHAM,Alabama,AL,35206,33.52,-86.79,10,5,4,5,7,5,9,8,8,8,10,9,7,6,8,7,10,5,10,9,10,10,10,5,6,5,10,10,10,10,87,No Reduction,12/18/1997,7683 days 00:00:00.000000000
29,DCI CULLMAN,12563,CULLMAN,Alabama,AL,35055,34.17,-86.83,7,5,5,5,6,5,8,8,10,8,10,9,10,6,10,7,10,5,10,9,10,10,5,5,7,5,10,10,10,10,83,No Reduction,1/4/1996,8397 days 00:00:00.000000000
30,BIRMINGHAM NORTH DIALYSIS,12589,BIRMINGHAM,Alabama,AL,35207,33.52,-86.79,5,5,0,5,3,5,1,8,0,8,10,9,8,6,9,7,7,5,10,9,10,10,3,5,0,5,10,10,10,10,46,1.00%,8/1/1998,7457 days 00:00:00.000000000
31,FMC LAKEVIEW,12561,GUNTERSVILLE,Alabama,AL,35976,34.35,-86.27,2,5,0,5,1,5,9,8,10,8,10,9,4,6,6,7,3,5,10,9,10,10,5,5,0,5,10,10,10,10,51,0.50%,12/7/1995,8425 days 00:00:00.000000000
32,BIRMINGHAM EAST DIALYSIS,12508,BIRMINGHAM,Alabama,AL,35235,33.52,-86.79,6,5,0,5,3,5,6,8,7,8,10,9,8,6,9,7,4,5,9,9,10,10,8,5,3,5,10,10,10,10,60,No Reduction,6/28/1979,14431 days 00:00:00.000000000
33,DEMOPOLIS DIALYSIS,12543,DEMOPOLIS,Alabama,AL,36732,32.5,-87.83,5,5,0,5,3,5,8,8,7,8,10,9,7,6,8,7,6,5,9,9,10,10,6,5,3,5,10,10,10,10,63,No Reduction,5/20/1992,9721 days 00:00:00.000000000
34,RENAL TREATMENT CENTERS SOUTHEAST LP,12679,DEMOPOLIS,Alabama,AL,36732,32.5,-87.83,9,5,4,5,7,5,10,8,6,8,10,9,7,6,8,7,4,5,9,9,10,10,10,5,10,5,10,10,10,10,78,No Reduction,11/24/2014,1498 days 00:00:00.000000000
35,PCD MONTGOMERY,12505,MONTGOMERY,Alabama,AL,36106,32.35,-86.28,8,5,2,5,5,5,8,8,9,8,10,9,0,6,4,7,5,5,9,9,10,10,3,5,4,5,10,10,10,10,57,0.50%,12/14/1977,14992 days 00:00:00.000000000
36,FKC MONTGOMERY,12596,MONTGOMERY,Alabama,AL,36111,32.35,-86.28,3,5,0,5,2,5,6,8,9,8,10,9,8,6,9,7,1,5,10,9,10,10,2,5,5,5,10,10,10,10,49,1.00%,8/11/1999,7082 days 00:00:00.000000000
37,DCI DOTHAN,12521,DOTHAN,Alabama,AL,36303,31.23,-85.4,10,5,3,5,7,5,5,8,4,8,10,9,0,6,4,7,8,5,9,9,10,10,1,5,7,5,10,10,10,10,58,0.50%,3/11/1985,12348 days 00:00:00.000000000
38,DCI DECATUR,12558,DECATUR,Alabama,AL,35601,34.57,-86.98,6,5,5,5,6,5,6,8,8,8,10,9,5,6,7,7,6,5,10,9,10,10,3,5,5,5,10,10,10,10,62,No Reduction,5/24/1995,8622 days 00:00:00.000000000
39,NORTHPORT DIALYSIS,12570,NORTHPORT,Alabama,AL,35476,33.24,-87.59,3,5,0,5,2,5,7,8,6,8,10,9,6,6,8,7,4,5,10,9,10,10,3,5,5,5,10,10,10,10,54,0.50%,12/3/1996,8063 days 00:00:00.000000000
40,FMC MAGNOLIA,12610,SEMMES,Alabama,AL,36575,30.77,-88.26,9,5,1,5,5,5,8,8,10,8,10,9,6,6,8,7,5,5,10,9,10,10,9,5,4,5,10,10,10,10,71,No Reduction,5/14/2003,5710 days 00:00:00.000000000
41,DCI PHENIX CITY,12598,PHENIX CITY,Alabama,AL,36867,32.46,-85.01,10,5,9,5,10,5,9,8,9,8,10,9,5,6,7,7,10,5,10,9,10,10,0,5,7,5,10,10,10,10,79,No Reduction,2/9/2000,6900 days 00:00:00.000000000
42,PHENIX CITY DIALYSIS,12523,PHENIX CITY,Alabama,AL,36867,32.46,-85.01,8,5,8,5,8,5,8,8,7,8,10,9,7,6,8,7,1,5,10,9,10,10,7,5,7,5,10,10,10,10,66,No Reduction,9/23/1985,12152 days 00:00:00.000000000
43,FMC MIDFIELD DIALYSIS,12624,BIRMINGHAM,Alabama,AL,35228,33.52,-86.79,10,5,0,5,5,5,10,8,9,8,10,9,10,6,10,7,7,5,10,9,10,10,7,5,8,5,10,10,10,10,81,No Reduction,1/29/2008,3989 days 00:00:00.000000000
44,FMC UNIVERSITY SOUTH ALABAMA,12559,MOBILE,Alabama,AL,36688,30.68,-88.04,10,5,2,5,6,5,9,8,8,8,10,9,4,6,6,7,7,5,10,9,10,10,3,5,1,5,10,10,10,10,63,No Reduction,1/14/1995,8752 days 00:00:00.000000000
45,FMC EASTERN SHORE,12547,FAIRHOPE,Alabama,AL,36532,30.51,-87.88,10,5,5,5,8,5,10,8,10,8,10,9,5,6,7,7,4,5,10,9,10,10,10,5,10,5,10,10,10,10,81,No Reduction,8/1/1993,9283 days 00:00:00.000000000
46,FMC PORT CITY,12599,MOBILE,Alabama,AL,36602,30.68,-88.04,5,5,0,5,3,5,8,8,9,8,10,9,7,6,8,7,0,5,10,9,10,10,9,5,0,5,10,10,10,10,54,0.50%,2/7/2001,6536 days 00:00:00.000000000
47,DAVITA WIREGRASS KIDNEY CENTER,12630,DOTHAN,Alabama,AL,36301,31.23,-85.4,10,5,3,5,7,5,6,8,10,8,10,9,0,6,4,7,7,5,8,9,10,10,0,5,0,5,10,10,10,10,54,0.50%,12/23/2008,3660 days 00:00:00.000000000
48,LANDMARK DIALYSIS,12616,TALLADEGA,Alabama,AL,35160,33.43,-86.09,5,5,0,5,3,5,10,8,6,8,10,9,8,6,9,7,5,5,10,9,10,10,8,5,6,5,10,10,10,10,70,No Reduction,6/9/2004,5318 days 00:00:00.000000000
49,SHEFFIELD DIALYSIS,12551,SHEFFIELD,Alabama,AL,35660,34.75,-87.7,9,5,7,5,8,5,10,8,8,8,10,9,4,6,6,7,7,5,10,9,10,10,9,5,10,5,10,10,10,10,83,No Reduction,1/1/1995,8765 days 00:00:00.000000000
50,DVA HEALTHCARE RENAL CARE INC,12517,ATHENS,Alabama,AL,35613,34.78,-86.95,7,5,6,5,7,5,7,8,7,8,10,9,3,6,6,7,3,5,9,9,10,10,3,5,6,5,10,10,10,10,58,0.50%,1/21/1983,13128 days 00:00:00.000000000
51,ENSLEY DIALYSIS,12585,BIRMINGHAM,Alabama,AL,35218,33.52,-86.79,7,5,0,5,4,5,10,8,10,8,10,9,0,6,4,7,1,5,10,9,10,10,6,5,8,5,10,10,10,10,58,0.50%,8/1/1998,7457 days 00:00:00.000000000
52,RCG FORT PAYNE,12595,FORT PAYNE,Alabama,AL,35968,34.45,-85.69,10,5,6,5,8,5,7,8,10,8,10,9,6,6,8,7,9,5,10,9,10,10,4,5,1,5,10,10,10,10,73,No Reduction,5/1/1999,7184 days 00:00:00.000000000
53,ENDEAVOR DIALYSIS,12643,HUNTSVILLE,Alabama,AL,35816,34.7,-86.62,6,5,8,5,7,5,10,8,10,8,10,9,10,6,10,7,2,5,10,9,10,10,3,5,3,5,10,10,10,10,65,No Reduction,7/5/2011,2736 days 00:00:00.000000000
54,RRC NORTHRIDGE,12618,NORTHPORT,Alabama,AL,35473,33.24,-87.59,3,5,0,5,2,5,3,8,8,8,10,9,3,6,6,7,3,5,7,9,8,10,2,5,0,5,0,10,5,10,35,1.50%,10/25/2006,4450 days 00:00:00.000000000
55,FMC MOBILE,12507,MOBILE,Alabama,AL,36607,30.68,-88.04,9,5,0,5,5,5,10,8,10,8,10,9,7,6,8,7,5,5,10,9,10,10,7,5,6,5,10,10,10,10,73,No Reduction,1/4/1979,14606 days 00:00:00.000000000
56,FMC EAST MOBILE,12524,MOBILE,Alabama,AL,36604,30.68,-88.04,10,5,4,5,7,5,8,8,8,8,10,9,9,6,9,7,2,5,10,9,10,10,5,5,6,5,10,10,10,10,65,No Reduction,12/1/1985,12083 days 00:00:00.000000000
57,BIO-MEDICAL APPLICATIONS OF ALABAMA INC,12552,MOBILE,Alabama,AL,36604,30.68,-88.04,7,5,1,5,4,5,10,8,10,8,10,9,6,6,8,7,5,5,10,9,10,10,10,5,1,5,10,10,10,10,71,No Reduction,7/25/2013,1985 days 00:00:00.000000000
58,FMC CAPITOL CITY,12500,MONTGOMERY,Alabama,AL,36104,32.35,-86.28,7,5,1,5,4,5,8,8,10,8,10,9,5,6,7,7,2,5,9,9,10,10,2,5,3,5,10,10,10,10,52,0.50%,9/1/1976,15461 days 00:00:00.000000000
59,DOTHAN DIALYSIS,12506,DOTHAN,Alabama,AL,36305,31.23,-85.4,10,5,4,5,7,5,9,8,7,8,10,9,6,6,8,7,8,5,9,9,10,10,4,5,1,5,10,10,10,10,70,No Reduction,11/28/1977,15008 days 00:00:00.000000000
60,FRESENIUS MEDICAL CARE WEST MADISON LLC,12672,MADISON,Alabama,AL,35756,34.7,-86.74,7,5,1,5,4,5,9,8,10,8,10,9,6,6,8,7,3,5,10,9,10,10,0,5,1,5,10,10,10,10,53,0.50%,1/22/2014,1804 days 00:00:00.000000000
61,031308 GILA RIVER DIALYSIS EAST,32315,SACATON,Arizona,AZ,85247,33.1,-111.75,8,5,10,5,9,5,8,8,10,8,10,9,2,6,5,7,7,5,10,9,10,10,5,5,10,5,10,10,10,10,76,No Reduction,1/4/2006,4744 days 00:00:00.000000000
62,032513 SELLS DIALYSIS (DVA),32513,SELLS,Arizona,AZ,85634,32,-111.93,10,5,9,5,10,5,9,8,6,8,10,9,4,6,6,7,1,5,8,9,10,10,8,5,10,5,10,10,10,10,70,No Reduction,1/1/1985,12417 days 00:00:00.000000000
63,032518 FOUR CORNERS DIALYSIS CLINIC CHINLE (DVA),32518,CHINLE,Arizona,AZ,86503,36.23,-109.57,7,5,4,5,6,5,8,8,8,8,10,9,10,6,10,7,1,5,6,9,10,10,9,5,3,5,10,10,10,10,64,No Reduction,4/14/1987,11584 days 00:00:00.000000000
64,032520 SIERRA VISTA DIALYSIS (DVA),32520,SIERRA VISTA,Arizona,AZ,85635,31.59,-110.17,6,5,8,5,7,5,7,8,8,8,10,9,5,6,7,7,7,5,6,9,10,10,5,5,7,5,10,10,10,10,70,No Reduction,6/20/1987,11517 days 00:00:00.000000000
65,032609 SOUTHWEST KIDNEY DIALYSIS - TEMPE (DVA),32609,TEMPE,Arizona,AZ,85284,33.33,-111.93,7,5,9,5,8,5,9,8,9,8,10,9,7,6,8,7,8,5,8,9,10,10,4,5,3,5,10,10,10,10,74,No Reduction,8/5/2005,4896 days 00:00:00.000000000
66,033503 GILA RIVER DIALYSIS WEST,33503,LAVEEN,Arizona,AZ,85339,33.3,-112.2,10,5,10,5,10,5,10,8,10,8,10,9,0,6,4,7,5,5,10,9,10,10,6,5,9,5,10,10,10,10,76,No Reduction,8/24/2005,4877 days 00:00:00.000000000
67,032539 MESA DIALYSIS CENTER (FMC),32539,GILBERT,Arizona,AZ,85234,33.36,-111.75,7,5,9,5,8,5,10,8,10,8,10,9,7,6,8,7,8,5,10,9,10,10,9,5,10,5,10,10,10,10,89,No Reduction,9/8/1997,7784 days 00:00:00.000000000
68,032605 SOUTHWEST KIDNEY DIALYSIS - GILBERT (DVA),32605,GILBERT,Arizona,AZ,85234,33.36,-111.75,6,5,10,5,8,5,8,8,10,8,10,9,4,6,6,7,4,5,10,9,9,10,5,5,0,5,10,10,10,10,61,No Reduction,10/8/2004,5197 days 00:00:00.000000000
69,032544 LAKE HAVASU DIALYSIS (FMC),32544,LAKE HAVASU CITY,Arizona,AZ,86403,34.48,-114.32,8,5,9,5,8,5,10,8,9,8,10,9,1,6,5,7,8,5,10,9,10,10,4,5,5,5,10,10,10,10,73,No Reduction,4/6/1993,9400 days 00:00:00.000000000
70,032612 SOUTHWEST KIDNEY DIALYSIS - ESTRELLA (DVA),32612,PHOENIX,Arizona,AZ,85037,33.48,-112.25,6,5,9,5,7,5,9,8,8,8,10,9,3,6,6,7,5,5,9,9,10,10,3,5,7,5,10,10,10,10,66,No Reduction,12/6/2006,4408 days 00:00:00.000000000
71,032639 ESTRELLA MOUNTAIN DIALYSIS LLC (ARA),32639,PHOENIX,Arizona,AZ,85037,33.48,-112.25,9,5,9,5,9,5,10,8,8,8,10,9,2,6,5,7,9,5,10,9,10,10,10,5,9,5,10,10,10,10,87,No Reduction,3/6/2013,2126 days 00:00:00.000000000
72,032577 YAVAPAI DIALYSIS (FMC),32577,PRESCOTT,Arizona,AZ,86303,34.49,-112.44,5,5,9,5,7,5,5,8,10,8,10,9,8,6,9,7,5,5,8,9,9,10,4,5,5,5,10,10,10,10,65,No Reduction,1/31/1999,7274 days 00:00:00.000000000
73,032506 TUBA CITY DIALYSIS UNIT (DVA),32506,TUBA CITY,Arizona,AZ,86045,36.09,-111.13,5,5,8,5,6,5,10,8,9,8,10,9,3,6,6,7,1,5,10,9,10,10,5,5,6,5,10,10,10,10,61,No Reduction,11/15/1990,10273 days 00:00:00.000000000
74,032627 TUCSON CENTRAL DIALYSIS (DVA),32627,TUCSON,Arizona,AZ,85716,32.24,-110.92,8,5,10,5,9,5,7,8,5,8,10,9,8,6,9,7,9,5,10,9,10,10,6,5,6,5,10,10,10,10,79,No Reduction,6/10/2009,3491 days 00:00:00.000000000
75,032537 ESTRELLA DIALYSIS CENTER (FMC),32537,PHOENIX,Arizona,AZ,85043,33.42,-112.2,3,5,5,5,4,5,8,8,10,8,10,9,6,6,8,7,1,5,10,9,10,10,4,5,8,5,10,10,10,10,59,0.50%,8/19/1991,9996 days 00:00:00.000000000
76,032579 SUN LAKES DIALYSIS (FMC),32579,SUN LAKES,Arizona,AZ,85248,33.24,-111.96,9,5,10,5,9,5,9,8,9,8,10,9,7,6,8,7,5,5,10,9,10,10,9,5,10,5,10,10,10,10,83,No Reduction,6/2/1999,7152 days 00:00:00.000000000
77,032556 SOUTH YUMA DIALYSIS (DVA),32556,YUMA,Arizona,AZ,85365,32.72,-114.51,7,5,4,5,6,5,10,8,10,8,10,9,4,6,6,7,6,5,10,9,10,10,7,5,9,5,10,10,10,10,76,No Reduction,3/27/1995,8680 days 00:00:00.000000000
78,032644 EDGE RIVER (DVA),32644,YUMA,Arizona,AZ,85365,32.72,-114.51,8,5,8,5,8,5,8,8,6,8,10,9,7,6,8,7,6,5,6,9,10,10,6,5,3,5,10,10,10,10,69,No Reduction,10/14/2015,1174 days 00:00:00.000000000
79,032500 TUCSON WEST DIALYSIS (DVA),32500,TUCSON,Arizona,AZ,85745,32.25,-111.08,5,5,4,5,5,5,8,8,9,8,10,9,0,6,4,7,4,5,10,9,10,10,4,5,4,5,10,10,10,10,56,0.50%,9/28/1988,11051 days 00:00:00.000000000
80,032502 YUMA DIALYSIS (DVA),32502,YUMA,Arizona,AZ,85364,32.68,-114.66,5,5,7,5,6,5,9,8,9,8,10,9,4,6,6,7,5,5,10,9,10,10,5,5,2,5,10,10,10,10,63,No Reduction,6/28/1978,14796 days 00:00:00.000000000
81,032628 KINGMAN DIALYSIS CLINIC (FMC),32628,KINGMAN,Arizona,AZ,86409,35.24,-114.01,7,5,7,5,7,5,7,8,7,8,10,9,7,6,8,7,6,5,10,9,10,10,4,5,5,5,10,10,10,10,67,No Reduction,6/16/2009,3485 days 00:00:00.000000000
82,032617 TUCSON WEST DIALYSIS CENTER (FMC),32617,TUCSON,Arizona,AZ,85705,32.26,-111,7,5,8,5,7,5,7,8,10,8,10,9,10,6,10,7,5,5,10,9,10,10,6,5,4,5,10,10,10,10,72,No Reduction,5/7/2008,3890 days 00:00:00.000000000
83,032553 PAPAGO DIALYSIS (DVA),32553,PHOENIX,Arizona,AZ,85018,33.5,-111.98,7,5,10,5,8,5,9,8,10,8,10,9,2,6,5,7,6,5,9,9,10,10,7,5,10,5,10,10,10,10,77,No Reduction,9/6/1994,8882 days 00:00:00.000000000
84,032501 TUCSON EAST DIALYSIS (DVA),32501,TUCSON,Arizona,AZ,85710,32.22,-110.82,4,5,8,5,6,5,7,8,6,8,10,9,7,6,8,7,5,5,8,9,10,10,3,5,4,5,10,10,10,10,61,No Reduction,5/26/1978,14829 days 00:00:00.000000000
85,032543 NOGALES DIALYSIS (DVA),32543,NOGALES,Arizona,AZ,85621,31.45,-110.83,10,5,10,5,10,5,9,8,8,8,10,9,0,6,4,7,4,5,9,9,10,10,6,5,9,5,10,10,10,10,71,No Reduction,3/15/1993,9422 days 00:00:00.000000000
86,032572 DESERT DIALYSIS SRVS INC-SUN CITY (DVA),32572,SUN CITY,Arizona,AZ,85351,33.6,-112.28,5,5,5,5,5,5,8,8,7,8,10,9,9,6,9,7,8,5,6,9,10,10,4,5,8,5,10,10,10,10,73,No Reduction,7/23/1997,7831 days 00:00:00.000000000
87,032601 PALM BROOK DIALYSIS CENTER (DVA),32601,SUN CITY,Arizona,AZ,85351,33.6,-112.28,5,5,0,5,3,5,10,8,9,8,10,9,3,6,6,7,8,5,10,9,10,10,6,5,8,5,10,10,10,10,73,No Reduction,12/10/2003,5500 days 00:00:00.000000000
88,032550 NORTH PHOENIX DIALYSIS (FMC),32550,PHOENIX,Arizona,AZ,85021,33.55,-112.09,3,5,5,5,4,5,7,8,10,8,10,9,7,6,8,7,5,5,10,9,10,10,5,5,9,5,10,10,10,10,68,No Reduction,12/10/1993,9152 days 00:00:00.000000000
89,032622 GOODYEAR DIALYSIS (FMC),32622,GOODYEAR,Arizona,AZ,85338,33.37,-112.38,6,5,6,5,6,5,8,8,9,8,10,9,5,6,7,7,3,5,8,9,10,10,8,5,9,5,10,10,10,10,69,No Reduction,8/6/2008,3799 days 00:00:00.000000000
90,032618 NORTHWEST TUCSON DIALYSIS (DVA),32618,TUCSON,Arizona,AZ,85741,32.33,-111.05,10,5,9,5,10,5,8,8,8,8,10,9,0,6,4,7,8,5,8,9,10,10,6,5,10,5,10,10,10,10,78,No Reduction,5/8/2008,3889 days 00:00:00.000000000
